Codigo,Nome,Cargo,Ano,Mês,Assiduidade,Pontualidade,Cumprimento Tarefas,Comportamento,Nota Final,Classificação
50,Raquel Cruz,Assistente Administrativo,2024,dezembro,9,6,6,8,7.25,Bom
51,Alexandre Barros,Técnico de Informática,2022,setembro,8,7,4,8,6.75,Bom
52,Tânia Marques,Contabilista,2023,abril,9,7,8,8,8.0,Muito Bom
53,Miguel Moreira,Coordenador,2021,fevereiro,6,7,9,8,7.5,Bom
54,Filipa Chicava,Assistente Administrativo,2021,fevereiro,6,7,9,8,7.5,Bom
55,Manuel Barros,Assistente Administrativo,2021,fevereiro,9,7,9,8,8.25,Muito Bom
56,Hugo Albazine,Diretor de Departamento,2022,junho,8,7,9,8,8.0,Muito Bom
57,Maria Teixeira,Consultor,2021,janeiro,9,6,9,8,8.0,Muito Bom
58,Tânia Moreira,Diretor de Departamento,2021,maio,9,7,7,8,7.75,Bom
59,Carlos Cruz,Assistente Administrativo,2023,junho,9,3,8,8,7.0,Bom
60,Vítor Pinto,Diretor de Departamento,2022,junho,9,7,9,7,8.0,Muito Bom
61,Pedro Teixeira,Supervisor,2023,agosto,7,7,8,6,7.0,Bom
62,Teresa Santos,Diretor de Departamento,2023,maio,7,7,9,8,7.75,Bom
63,Lúcia Conceiao,Contabilista,2024,janeiro,9,7,8,7,7.75,Bom
64,António Fernandes,Diretor de Departamento,2022,novembro,9,7,5,8,7.25,Bom
65,Sara Gomes,Marketing,2023,julho,9,7,9,7,8.0,Muito Bom
66,André Carvalho,Contabilista,2023,março,8,7,7,8,7.5,Bom
67,Rui Fernandes,Assistente Administrativo,2022,outubro,7,7,9,8,7.75,Bom
68,Sara Rodrigues,Técnico de Laboratório,2022,julho,8,7,9,8,8.0,Muito Bom
69,Vítor Azevedo,Diretor de Departamento,2022,março,8,7,5,8,7.0,Bom
70,Eduarda Lopes,Assistente Financeiro,2023,setembro,6,7,9,8,7.5,Bom
71,António Mendes,Gestor de Projetos,2024,setembro,9,7,7,8,7.75,Bom
72,Vítor Marques,Designer,2023,outubro,7,7,9,7,7.5,Bom
73,Patrícia Cruz,Técnico de Laboratório,2022,janeiro,9,5,9,8,7.75,Bom
74,Vítor Pereira,Engenheiro,2022,maio,9,7,7,8,7.75,Bom
75,Tânia Costa,Diretor de Departamento,2023,agosto,9,7,7,7,7.5,Bom
76,Maria Costa,Assistente Financeiro,2024,julho,9,6,8,8,7.75,Bom
77,Tânia Azevedo,Supervisor,2022,setembro,9,7,9,8,8.25,Muito Bom
78,Teresa Conceiao,Assistente de Direção,2024,fevereiro,9,7,4,8,7.0,Bom
79,Francisco Nunes,Recursos Humanos,2021,agosto,7,7,8,7,7.25,Bom
80,Carlos Ribeiro,Secretariado,2023,agosto,8,7,7,8,7.5,Bom
81,Francisco Costa,Diretor de Departamento,2023,fevereiro,7,7,8,8,7.5,Bom
82,Raquel Manave,Analista de Dados,2022,fevereiro,9,6,4,8,6.75,Bom
83,Pedro Barros,Assistente de Direção,2024,abril,9,7,3,8,6.75,Bom
84,Hugo Ribeiro,Engenheiro,2022,maio,9,7,9,7,8.0,Muito Bom
85,José Azevedo,Técnico de Informática,2024,junho,9,6,8,8,7.75,Bom
86,João Moreira,Engenheiro,2021,maio,8,7,6,8,7.25,Bom
87,Sara Teixeira,Técnico de Informática,2021,abril,8,7,6,8,7.25,Bom
88,Catarina Conceiao,Coordenador,2022,fevereiro,9,7,6,8,7.5,Bom
89,Filipa Correia,Assistente Administrativo,2021,junho,6,7,9,8,7.5,Bom
90,José Marques,Recursos Humanos,2022,janeiro,8,7,7,8,7.5,Bom
91,Tânia Silva,Diretor de Departamento,2024,agosto,6,7,9,8,7.5,Bom
92,Hugo Vieira,Recursos Humanos,2021,outubro,9,7,6,8,7.5,Bom
93,Marcelo Mendes,Secretariado,2023,março,9,6,7,8,7.5,Bom
94,João Cardoso,Assistente Administrativo,2021,dezembro,8,7,9,8,8.0,Muito Bom
95,Ana Cardoso,Supervisor,2024,junho,9,7,8,8,8.0,Muito Bom
96,Paulo Mendes,Técnico de Informática,2022,novembro,9,5,9,8,7.75,Bom
97,Paulo Cardoso,Designer,2022,dezembro,9,7,8,8,8.0,Muito Bom
98,Sara Martins,Analista de Dados,2023,janeiro,7,6,6,8,6.75,Bom
99,Catarina Cruz,Assistente Administrativo,2024,outubro,9,6,9,8,8.0,Muito Bom
100,Carlos Santos,Técnico de Laboratório,2022,novembro,9,5,8,8,7.5,Bom
101,Manuel Ferreira,Designer,2022,julho,9,7,9,8,8.25,Muito Bom
102,Eduarda Lopes,Assistente Administrativo,2024,fevereiro,9,7,9,8,8.25,Muito Bom
103,Nuno Lopes,Designer,2024,julho,8,7,9,8,8.0,Muito Bom
104,Bruno Manave,Marketing,2021,junho,7,7,8,7,7.25,Bom
105,Hugo Teixeira,Contabilista,2023,junho,7,7,6,8,7.0,Bom
106,Ana Conceiao,Marketing,2024,novembro,8,7,7,8,7.5,Bom
107,Helena Machel,Auditor,2021,setembro,6,7,9,8,7.5,Bom
108,Mariana Rodrigues,Assistente Administrativo,2023,fevereiro,7,6,7,7,6.75,Bom
109,Ana Vieira,Técnico de Informática,2023,dezembro,7,7,9,8,7.75,Bom
110,Catarina Chicava,Recursos Humanos,2024,março,4,7,9,8,7.0,Bom
111,Eduarda Moreira,Secretariado,2023,fevereiro,8,7,9,8,8.0,Muito Bom
112,Sara Ribeiro,Supervisor,2022,dezembro,9,7,8,7,7.75,Bom
113,Gonçalo Baptista,Técnico de Laboratório,2022,dezembro,6,5,9,8,7.0,Bom
114,Diana Rocha,Diretor de Departamento,2022,maio,9,6,8,8,7.75,Bom
115,Manuel Lopes,Auditor,2021,janeiro,7,7,6,8,7.0,Bom
116,Gonçalo Alves,Engenheiro,2023,novembro,8,7,7,7,7.25,Bom
117,Ana Cruz,Auditor,2022,março,9,7,7,8,7.75,Bom
118,Ricardo Cardoso,Engenheiro,2021,janeiro,8,5,6,8,6.75,Bom
119,Mariana Ferreira,Contabilista,2024,julho,9,4,9,8,7.5,Bom
120,João Cruz,Analista de Dados,2024,abril,9,7,7,8,7.75,Bom
121,Fernando Santos,Gestor de Projetos,2023,junho,9,7,9,8,8.25,Muito Bom
122,Gonçalo Pinto,Auditor,2021,julho,9,7,7,8,7.75,Bom
123,Laura Martins,Técnico de Laboratório,2022,abril,7,7,6,8,7.0,Bom
124,Marcelo Monteiro,Assistente de Direção,2024,novembro,9,7,9,8,8.25,Muito Bom
125,Cláudia Marques,Diretor de Departamento,2021,outubro,8,7,5,8,7.0,Bom
126,Catarina Baptista,Gestor de Projetos,2023,março,9,7,9,8,8.25,Muito Bom
127,Luís Azevedo,Supervisor,2023,dezembro,3,7,9,8,6.75,Bom
128,Rui Machel,Assistente de Direção,2023,abril,9,7,8,8,8.0,Muito Bom
129,Marcelo Chicava,Assistente Administrativo,2021,novembro,8,7,9,8,8.0,Muito Bom
130,Lúcia Morais,Engenheiro,2024,julho,7,6,9,8,7.5,Bom
131,André Cardoso,Coordenador,2021,julho,8,7,9,8,8.0,Muito Bom
132,Fernando Marques,Recursos Humanos,2021,janeiro,5,5,6,8,6.0,Regular
133,Filipa Vieira,Gestor de Projetos,2023,janeiro,8,7,9,7,7.75,Bom
134,Francisco Manave,Marketing,2023,julho,8,7,9,8,8.0,Muito Bom
135,Alexandre Machel,Assistente Financeiro,2021,fevereiro,9,6,9,8,8.0,Muito Bom
136,Beatriz Pinto,Diretor de Departamento,2024,dezembro,9,7,6,8,7.5,Bom
137,Teresa Teixeira,Secretariado,2024,setembro,9,6,9,7,7.75,Bom
138,Sara Machava,Auditor,2023,abril,9,6,9,7,7.75,Bom
139,Pedro Nunes,Marketing,2021,fevereiro,8,7,9,8,8.0,Muito Bom
140,Maria Mendes,Auditor,2024,março,9,7,9,6,7.75,Bom
141,António Vieira,Assistente Administrativo,2024,junho,9,6,8,8,7.75,Bom
142,Bruno Carvalho,Auditor,2023,julho,9,7,9,8,8.25,Muito Bom
143,Sofia Carvalho,Técnico de Informática,2021,dezembro,9,7,8,7,7.75,Bom
144,Patrícia Alves,Assistente de Direção,2024,março,9,7,6,8,7.5,Bom
145,Beatriz Cardoso,Técnico de Laboratório,2021,junho,8,7,5,8,7.0,Bom
146,André RegularConceiao,Técnico de Informática,2023,março,9,7,7,7,7.5,Bom
147,Mariana Barros,Assistente Financeiro,2021,junho,7,7,8,8,7.5,Bom
148,Raquel Carvalho,Engenheiro,2024,janeiro,9,5,8,8,7.5,Bom
149,Tânia Marques,Contabilista,2024,outubro,9,7,7,7,7.5,Bom
150,Ana Soares,Diretor de Departamento,2023,novembro,9,7,7,8,7.75,Bom
151,Ricardo Rodrigues,Consultor,2022,maio,8,7,5,8,7.0,Bom
152,Marcelo Martins,Diretor de Departamento,2022,junho,8,7,6,8,7.25,Bom
153,Rui Neves,Marketing,2024,julho,9,5,7,8,7.25,Bom
154,Laura Alves,Gestor de Projetos,2021,junho,9,7,9,8,8.25,Muito Bom
155,Helena Barros,Marketing,2021,abril,9,7,6,8,7.5,Bom
156,André Soares,Auditor,2021,novembro,9,6,9,8,8.0,Muito Bom
157,Cláudia Mendes,Engenheiro,2021,outubro,9,7,9,7,8.0,Muito Bom
158,Bruno Vieira,Analista de Dados,2021,outubro,8,7,7,8,7.5,Bom
159,Teresa Moreira,Marketing,2021,janeiro,9,5,7,6,6.75,Bom
160,Vítor Alves,Secretariado,2023,julho,5,7,4,8,6.0,Regular
161,Helena Machado,Analista de Dados,2021,dezembro,9,6,8,7,7.5,Bom
162,Francisco Cardoso,Contabilista,2024,junho,4,5,9,8,6.5,Bom
163,Hugo Gomes,Marketing,2021,agosto,6,7,9,8,7.5,Bom
164,Paulo Pereira,Supervisor,2021,abril,9,5,9,7,7.5,Bom
165,Luís Coelho,Marketing,2023,agosto,7,7,9,7,7.5,Bom
166,Beatriz Machado,Engenheiro,2023,outubro,8,7,6,8,7.25,Bom
167,Luís Benjamim,Auditor,2022,junho,6,7,7,8,7.0,Bom
168,Eduarda Manave,Técnico de Informática,2023,novembro,9,7,9,8,8.25,Muito Bom
169,Ana Matos,Analista de Dados,2021,novembro,8,7,6,8,7.25,Bom
170,Inês Martins,Auditor,2023,abril,8,6,9,8,7.75,Bom
171,João Cruz,Técnico de Laboratório,2023,setembro,6,6,2,8,5.5,
172,José Monteiro,Secretariado,2022,abril,9,6,9,8,8.0,Muito Bom
173,José Coelho,Assistente Administrativo,2022,março,8,6,7,5,6.5,Bom
174,André Martins,Diretor de Departamento,2023,julho,9,7,9,8,8.25,Muito Bom
175,Patrícia Neves,Recursos Humanos,2022,junho,9,7,9,8,8.25,Muito Bom
176,João Cruz,Engenheiro,2021,agosto,9,7,4,7,6.75,Bom
177,Raquel Benjamim,Coordenador,2023,julho,9,6,7,8,7.5,Bom
178,Catarina Vieira,Marketing,2023,junho,8,7,7,8,7.5,Bom
179,Paulo Conceiao,Designer,2022,junho,8,7,6,8,7.25,Bom
180,Tânia Chapo,Auditor,2021,março,7,6,6,7,6.5,Bom
181,Tânia Rocha,Técnico de Informática,2023,março,8,6,7,7,7.0,Bom
182,Laura Rocha,Coordenador,2021,fevereiro,9,7,5,8,7.25,Bom
183,Catarina Fernandes,Recursos Humanos,2022,maio,7,6,7,8,7.0,Bom
184,Mariana Massango,Assistente de Direção,2024,maio,9,7,7,8,7.75,Bom
185,Sara Baptista,Secretariado,2022,fevereiro,6,5,9,8,7.0,Bom
186,Ricardo Martins,Assistente de Direção,2024,janeiro,9,7,9,6,7.75,Bom
187,Carlos Soares,Gestor de Projetos,2024,maio,9,6,9,8,8.0,Muito Bom
188,Raquel Chicava,Técnico de Laboratório,2021,abril,8,7,9,7,7.75,Bom
189,Filipa Santos,Assistente de Direção,2023,janeiro,8,7,8,7,7.5,Bom
190,Filipa Monteiro,Auditor,2021,junho,9,5,9,8,7.75,Bom
191,Alexandre Chapo,Consultor,2024,fevereiro,5,7,8,8,7.0,Bom
192,Helena Chicava,Gestor de Projetos,2024,abril,8,7,9,8,8.0,Muito Bom
193,Bruno Machava,Analista de Dados,2021,maio,9,7,8,7,7.75,Bom
194,Hugo Nunes,Assistente Financeiro,2021,novembro,9,7,9,8,8.25,Muito Bom
195,Miguel Soares,Assistente de Direção,2024,abril,5,7,5,8,6.25,Regular
196,António Benjamim,Assistente de Direção,2023,julho,9,7,8,8,8.0,Muito Bom
197,Luís Coelho,Diretor de Departamento,2022,dezembro,8,7,8,7,7.5,Bom
198,Fernando Neves,Gestor de Projetos,2022,julho,6,6,3,8,5.75,Regular
199,Marcelo Rodrigues,Designer,2024,março,9,7,9,8,8.25,Muito Bom
200,Lúcia Mendes,Secretariado,2024,novembro,9,7,8,8,8.0,Muito Bom
201,Marcelo Silva,Coordenador,2024,maio,7,7,6,8,7.0,Bom
202,Eduarda Barros,Diretor de Departamento,2023,agosto,7,5,6,7,6.25,Regular
203,Sara Marques,Assistente Administrativo,2023,junho,7,7,9,8,7.75,Bom
204,João Fernandes,Designer,2022,fevereiro,9,7,5,8,7.25,Bom
205,Sofia Soares,Técnico de Informática,2024,outubro,6,6,8,8,7.0,Bom
206,Cláudia Raposo,Consultor,2023,setembro,6,6,8,8,7.0,Bom
207,Miguel Santos,Técnico de Informática,2024,junho,9,6,6,8,7.25,Bom
208,Teresa Rocha,Técnico de Laboratório,2022,novembro,9,7,9,7,8.0,Muito Bom
209,Lúcia Benjamim,Assistente de Direção,2024,setembro,6,7,6,8,6.75,Bom
210,Manuel Morais,Técnico de Informática,2023,junho,9,6,9,8,8.0,Muito Bom
211,Cláudia Silva,Gestor de Projetos,2023,outubro,9,7,8,7,7.75,Bom
212,Manuel Raposo,Assistente de Direção,2024,dezembro,9,5,9,8,7.75,Bom
213,António Cardoso,Consultor,2022,dezembro,5,7,9,7,7.0,Bom
214,Ana Ferreira,Recursos Humanos,2022,novembro,9,7,5,7,7.0,Bom
215,Gonçalo Pinto,Contabilista,2022,novembro,7,7,5,8,6.75,Bom
216,Laura Machava,Diretor de Departamento,2024,maio,6,7,9,8,7.5,Bom
217,José Azevedo,Contabilista,2021,outubro,8,6,9,8,7.75,Bom
218,Francisco Massango,Diretor de Departamento,2021,dezembro,9,7,7,8,7.75,Bom
219,Patrícia Raposo,Gestor de Projetos,2023,agosto,9,5,6,8,7.0,Bom
220,Alexandre Cruz,Marketing,2024,maio,7,7,7,8,7.25,Bom
221,Bruno Morais,Gestor de Projetos,2023,fevereiro,3,7,9,7,6.5,Bom
222,José Vieira,Consultor,2024,junho,7,7,9,8,7.75,Bom
223,Tânia Nunes,Técnico de Laboratório,2023,junho,9,7,9,8,8.25,Muito Bom
224,Francisco Martins,Recursos Humanos,2021,janeiro,9,3,9,8,7.25,Bom
225,Filipa Conceiao,Gestor de Projetos,2022,fevereiro,9,7,9,8,8.25,Muito Bom
226,Pedro Pereira,Assistente Financeiro,2023,janeiro,6,7,9,8,7.5,Bom
227,Fernando Conceiao,Marketing,2021,setembro,9,6,6,8,7.25,Bom
228,Miguel Machado,Supervisor,2021,abril,4,7,9,8,7.0,Bom
229,Francisco Cruz,Supervisor,2024,novembro,6,7,9,8,7.5,Bom
230,Vítor Albazine,Contabilista,2021,abril,5,7,9,7,7.0,Bom
231,Carlos Santos,Assistente Financeiro,2023,novembro,9,7,9,7,8.0,Muito Bom
232,Hugo Fernandes,Assistente de Direção,2021,janeiro,9,7,9,7,8.0,Muito Bom
233,Ricardo Massango,Marketing,2022,setembro,8,6,8,8,7.5,Bom
234,Vítor Albazine,Contabilista,2024,dezembro,7,7,9,8,7.75,Bom
235,Ana Costa,Diretor de Departamento,2021,fevereiro,6,7,9,8,7.5,Bom
236,Ana Monteiro,Assistente de Direção,2023,outubro,5,4,9,7,6.25,Regular
237,Raquel Moreira,Marketing,2024,janeiro,5,7,8,8,7.0,Bom
238,Diana Morais,Assistente Financeiro,2024,outubro,9,5,5,8,6.75,Bom
239,Cláudia Chicava,Contabilista,2023,julho,9,6,8,8,7.75,Bom
240,Vítor Monteiro,Assistente de Direção,2023,junho,9,6,9,8,8.0,Muito Bom
241,Nuno Rocha,Gestor de Projetos,2023,setembro,9,6,9,8,8.0,Muito Bom
242,Diana Machava,Engenheiro,2021,janeiro,6,7,9,6,7.0,Bom
243,Miguel Massango,Diretor de Departamento,2023,dezembro,9,5,9,8,7.75,Bom
244,Carlos Fernandes,Técnico de Laboratório,2022,janeiro,9,7,9,8,8.25,Muito Bom
245,Lúcia Albazine,Analista de Dados,2023,dezembro,6,7,9,8,7.5,Bom
246,Pedro Marques,Contabilista,2021,maio,7,7,8,8,7.5,Bom
247,Patrícia Correia,Técnico de Informática,2021,janeiro,8,7,7,8,7.5,Bom
248,Luís Neves,Supervisor,2023,agosto,4,7,5,8,6.0,Regular
249,Patrícia Monteiro,Consultor,2022,maio,7,6,8,8,7.25,Bom
250,António Marques,Auditor,2022,maio,9,7,9,8,8.25,Muito Bom
251,Lúcia Cruz,Assistente Financeiro,2022,novembro,9,7,7,8,7.75,Bom
252,Beatriz Raposo,Coordenador,2023,outubro,9,7,9,8,8.25,Muito Bom
253,Marcelo Coelho,Coordenador,2023,novembro,9,7,9,8,8.25,Muito Bom
254,Beatriz Matos,Recursos Humanos,2022,janeiro,9,7,9,7,8.0,Muito Bom
255,Pedro Soares,Engenheiro,2022,abril,9,7,5,8,7.25,Bom
256,André Lopes,Técnico de Laboratório,2021,julho,5,5,9,8,6.75,Bom
257,Laura Machado,Coordenador,2024,outubro,7,7,7,8,7.25,Bom
258,Sofia Martins,Consultor,2023,fevereiro,9,6,6,8,7.25,Bom
259,Teresa Pinto,Técnico de Laboratório,2022,fevereiro,8,7,9,8,8.0,Muito Bom
260,Miguel Machel,Assistente de Direção,2023,março,6,7,9,8,7.5,Bom
261,Eduarda Fernandes,Designer,2021,janeiro,9,7,8,8,8.0,Muito Bom
262,Laura Machava,Secretariado,2021,março,8,7,6,8,7.25,Bom
263,Pedro Massango,Designer,2021,agosto,7,6,8,8,7.25,Bom
264,Rui Raposo,Assistente Administrativo,2022,fevereiro,9,7,9,8,8.25,Muito Bom
265,Eduarda Mendes,Assistente Administrativo,2024,outubro,8,5,9,7,7.25,Bom
266,André Ribeiro,Designer,2022,janeiro,9,7,6,6,7.0,Bom
267,Ricardo Conceiao,Técnico de Informática,2022,julho,9,7,9,7,8.0,Muito Bom
268,Mariana Manave,Supervisor,2021,março,9,5,6,8,7.0,Bom
269,Manuel Neves,Auditor,2021,agosto,8,7,9,8,8.0,Muito Bom
270,Marcelo Gomes,Contabilista,2023,maio,9,7,6,7,7.25,Bom
271,Miguel Conceiao,Consultor,2023,dezembro,7,7,9,8,7.75,Bom
272,Francisco Machel,Designer,2022,outubro,9,7,7,7,7.5,Bom
273,Maria Carvalho,Recursos Humanos,2021,agosto,9,7,9,8,8.25,Muito Bom
274,Hugo Neves,Secretariado,2024,fevereiro,9,5,9,8,7.75,Bom
275,Raquel Cruz,Analista de Dados,2022,novembro,7,7,7,7,7.0,Bom
276,Inês Baptista,Supervisor,2022,outubro,4,7,7,6,6.0,Regular
277,Hugo Pereira,Consultor,2022,maio,9,7,7,7,7.5,Bom
278,Marcelo Machava,Analista de Dados,2023,dezembro,9,7,6,7,7.25,Bom
279,João Fernandes,Técnico de Informática,2021,outubro,9,7,7,8,7.75,Bom
280,Diana Chicava,Gestor de Projetos,2021,julho,4,5,8,8,6.25,Regular
281,João Mendes,Marketing,2023,novembro,9,7,8,8,8.0,Muito Bom
282,Sara Manave,Diretor de Departamento,2024,agosto,6,6,7,8,6.75,Bom
283,Marta Albazine,Contabilista,2024,abril,9,6,9,8,8.0,Muito Bom
284,Pedro Carvalho,Recursos Humanos,2021,dezembro,7,6,9,7,7.25,Bom
285,Paulo Machel,Assistente de Direção,2024,janeiro,9,7,9,8,8.25,Muito Bom
286,Eduarda Nunes,Marketing,2021,julho,4,5,9,6,6.0,Regular
287,Miguel Moreira,Diretor de Departamento,2024,fevereiro,9,7,9,7,8.0,Muito Bom
288,Patrícia Machado,Gestor de Projetos,2024,março,9,5,4,7,6.25,Regular
289,Rui Monteiro,Diretor de Departamento,2024,julho,7,7,8,8,7.5,Bom
290,Ricardo Carvalho,Secretariado,2023,março,9,7,8,8,8.0,Muito Bom
291,Ricardo Costa,Designer,2022,julho,9,7,8,8,8.0,Muito Bom
292,Ana Barros,Contabilista,2023,abril,9,7,9,8,8.25,Muito Bom
293,Raquel Martins,Supervisor,2024,dezembro,7,7,9,8,7.75,Bom
294,Nuno Ribeiro,Técnico de Laboratório,2021,julho,8,7,7,8,7.5,Bom
295,Hugo Alves,Marketing,2021,fevereiro,9,7,9,8,8.25,Muito Bom
296,Manuel Albazine,Contabilista,2021,janeiro,7,7,8,8,7.5,Bom
297,André Marques,Marketing,2023,agosto,5,7,8,8,7.0,Bom
298,Ricardo Neves,Técnico de Informática,2021,fevereiro,6,7,9,8,7.5,Bom
299,Rui Lopes,Recursos Humanos,2023,julho,8,7,5,8,7.0,Bom
300,Hugo Pinto,Técnico de Laboratório,2023,agosto,9,7,7,8,7.75,Bom
301,Diana Ribeiro,Consultor,2022,julho,9,7,8,8,8.0,Muito Bom
302,Rui Marques,Auditor,2022,novembro,9,6,9,8,8.0,Muito Bom
303,Pedro Ferreira,Coordenador,2022,maio,9,7,6,8,7.5,Bom
304,José Marques,Auditor,2024,agosto,9,6,9,8,8.0,Muito Bom
305,Rui Lopes,Recursos Humanos,2022,janeiro,9,7,7,8,7.75,Bom
306,Sara Silva,Assistente Administrativo,2024,dezembro,8,7,9,7,7.75,Bom
307,Lúcia Marques,Engenheiro,2021,agosto,8,6,7,5,6.5,Bom
308,Nuno Manave,Diretor de Departamento,2023,janeiro,6,7,7,7,6.75,Bom
309,Catarina Soares,Diretor de Departamento,2021,janeiro,9,7,9,8,8.25,Muito Bom
310,Maria Pereira,Marketing,2023,janeiro,9,7,9,8,8.25,Muito Bom
311,Hugo Monteiro,Técnico de Laboratório,2021,dezembro,9,7,9,8,8.25,Muito Bom
312,Tânia Correia,Engenheiro,2023,novembro,9,7,9,8,8.25,Muito Bom
313,Mariana Silva,Secretariado,2023,abril,9,7,7,8,7.75,Bom
314,Patrícia Matos,Técnico de Informática,2023,janeiro,8,6,8,8,7.5,Bom
315,Catarina Vieira,Diretor de Departamento,2022,julho,9,6,8,7,7.5,Bom
316,Mariana Teixeira,Coordenador,2024,fevereiro,9,7,9,8,8.25,Muito Bom
317,Cláudia Coelho,Assistente Financeiro,2022,julho,8,7,6,8,7.25,Bom
318,Tânia Cruz,Contabilista,2024,janeiro,6,7,7,8,7.0,Bom
319,Marcelo Costa,Gestor de Projetos,2021,dezembro,7,7,8,8,7.5,Bom
320,Bruno Cruz,Analista de Dados,2024,janeiro,7,7,6,8,7.0,Bom
321,Marcelo Teixeira,Gestor de Projetos,2024,setembro,7,6,7,8,7.0,Bom
322,Beatriz Lopes,Secretariado,2024,outubro,9,7,8,5,7.25,Bom
323,Cláudia Cardoso,Diretor de Departamento,2022,julho,9,6,9,8,8.0,Muito Bom
324,Lúcia Neves,Engenheiro,2023,fevereiro,9,7,9,8,8.25,Muito Bom
325,Helena Machado,Auditor,2024,abril,7,6,9,7,7.25,Bom
326,Helena Chicava,Diretor de Departamento,2024,julho,8,6,9,8,7.75,Bom
327,Beatriz Moreira,Engenheiro,2022,julho,9,5,9,7,7.5,Bom
328,Tânia Costa,Engenheiro,2023,março,9,7,5,8,7.25,Bom
329,Eduarda Fernandes,Assistente de Direção,2023,outubro,6,6,8,8,7.0,Bom
330,Mariana Vieira,Marketing,2021,dezembro,8,7,7,8,7.5,Bom
